d_id,d_sector,d_lat,d_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,h_id,h_sector,h_lat,h_lon
1,Sector 16,29.8508216,-95.3633422,444,427,411,434,413,453,1,Sector 1,29.1296714,-95.135883
1,Sector 16,29.8508216,-95.3633422,281,324,310,300,292,263,2,Sector 2,29.2432001,-95.693312
1,Sector 16,29.8508216,-95.3633422,1185,1338,1316,1242,1247,1229,3,Sector 3,29.4284286,-95.3108234
1,Sector 16,29.8508216,-95.3633422,1402,1337,1358,1364,1216,1185,4,Sector 4,29.4878782,-95.5932727
1,Sector 16,29.8508216,-95.3633422,1163,1274,1174,1074,1102,1112,5,Sector 5,29.6409475,-95.3523606
1,Sector 16,29.8508216,-95.3633422,1384,1464,1385,1417,1334,1401,6,Sector 6,29.627213,-95.441012
1,Sector 16,29.8508216,-95.3633422,950,837,814,802,691,447,7,Sector 7,29.6309501,-95.955476
1,Sector 16,29.8508216,-95.3633422,1625,1580,1562,1587,1474,1603,8,Sector 8,29.7402271,-95.1866561
1,Sector 16,29.8508216,-95.3633422,2899,2832,2726,2875,2731,2581,9,Sector 9,29.7273462,-95.714563
1,Sector 16,29.8508216,-95.3633422,1085,1138,1081,1118,1061,1028,10,Sector 10,29.7143441,-95.5392633
1,Sector 16,29.8508216,-95.3633422,4168,4740,4276,4487,4300,4798,11,Sector 11,29.7671053,-95.3149995
1,Sector 16,29.8508216,-95.3633422,1307,1387,1372,1425,1327,1357,12,Sector 12,29.6266851,-95.1006781
1,Sector 16,29.8508216,-95.3633422,969,983,976,910,945,1086,13,Sector 13,29.8093129,-95.4860029
1,Sector 16,29.8508216,-95.3633422,411,521,424,415,428,393,14,Sector 14,29.6764419,-94.5694718
1,Sector 16,29.8508216,-95.3633422,5456,5753,5538,5329,5065,5690,15,Sector 15,29.9168719,-95.4446588
1,Sector 16,29.8508216,-95.3633422,3461,3690,3425,3201,3231,3250,17,Sector 17,29.8161969,-95.2125728
1,Sector 16,29.8508216,-95.3633422,2431,2606,2460,2537,2694,1707,18,Sector 18,29.8364141,-95.7069392
1,Sector 16,29.8508216,-95.3633422,8809,9516,8953,8903,9128,7993,19,Sector 19,30.003221,-95.5040004
1,Sector 16,29.8508216,-95.3633422,269,276,247,261,227,213,20,Sector 20,29.9115394,-96.0087606
1,Sector 16,29.8508216,-95.3633422,4919,5069,4598,4630,4398,3366,21,Sector 21,30.0387541,-95.2928074
1,Sector 16,29.8508216,-95.3633422,4623,4916,4517,4380,4258,3600,22,Sector 22,29.9283957,-95.0048084
1,Sector 16,29.8508216,-95.3633422,686,710,714,795,787,671,23,Sector 23,30.1273154,-94.7167391
1,Sector 16,29.8508216,-95.3633422,2049,2196,2188,2178,2023,1921,24,Sector 24,30.2962874,-95.2792697
1,Sector 16,29.8508216,-95.3633422,3377,3735,3426,3447,3533,3324,25,Sector 25,30.2608305,-95.6333457
