h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,d_id,d_sector,d_lat,d_lon
1,Sector 3,29.4284286,-95.3108234,4484,4411,4273,4306,1,Sector 1,29.1296714,-95.135883
1,Sector 3,29.4284286,-95.3108234,1064,960,918,895,2,Sector 2,29.2432001,-95.693312
1,Sector 3,29.4284286,-95.3108234,3507,3151,2816,2722,4,Sector 4,29.4878782,-95.5932727
1,Sector 3,29.4284286,-95.3108234,2981,2996,2718,2636,5,Sector 5,29.6409475,-95.3523606
1,Sector 3,29.4284286,-95.3108234,1786,1566,1561,1397,6,Sector 6,29.627213,-95.441012
1,Sector 3,29.4284286,-95.3108234,744,785,739,707,7,Sector 7,29.6309501,-95.955476
1,Sector 3,29.4284286,-95.3108234,3039,2904,2711,2654,8,Sector 8,29.7402271,-95.1866561
1,Sector 3,29.4284286,-95.3108234,2084,2055,2065,1962,9,Sector 9,29.7273462,-95.714563
1,Sector 3,29.4284286,-95.3108234,651,633,635,585,10,Sector 10,29.7143441,-95.5392633
1,Sector 3,29.4284286,-95.3108234,2186,2102,1989,1906,11,Sector 11,29.7671053,-95.3149995
1,Sector 3,29.4284286,-95.3108234,5943,5624,5415,5253,12,Sector 12,29.6266851,-95.1006781
1,Sector 3,29.4284286,-95.3108234,329,257,311,253,13,Sector 13,29.8093129,-95.4860029
1,Sector 3,29.4284286,-95.3108234,2452,2354,2303,2380,14,Sector 14,29.6764419,-94.5694718
1,Sector 3,29.4284286,-95.3108234,591,590,614,554,15,Sector 15,29.9168719,-95.4446588
1,Sector 3,29.4284286,-95.3108234,478,418,426,398,16,Sector 16,29.8508216,-95.3633422
1,Sector 3,29.4284286,-95.3108234,889,890,856,782,17,Sector 17,29.8161969,-95.2125728
1,Sector 3,29.4284286,-95.3108234,977,869,882,825,18,Sector 18,29.8364141,-95.7069392
1,Sector 3,29.4284286,-95.3108234,1523,1361,1301,1258,19,Sector 19,30.003221,-95.5040004
1,Sector 3,29.4284286,-95.3108234,127,120,109,104,20,Sector 20,29.9115394,-96.0087606
1,Sector 3,29.4284286,-95.3108234,622,525,539,491,21,Sector 21,30.0387541,-95.2928074
1,Sector 3,29.4284286,-95.3108234,1273,1258,1236,1168,22,Sector 22,29.9283957,-95.0048084
1,Sector 3,29.4284286,-95.3108234,450,515,653,957,23,Sector 23,30.1273154,-94.7167391
1,Sector 3,29.4284286,-95.3108234,656,628,621,652,24,Sector 24,30.2962874,-95.2792697
1,Sector 3,29.4284286,-95.3108234,903,860,833,751,25,Sector 25,30.2608305,-95.6333457
